Net Name,Trace Name,Diff Impedance (Ohm),Length (mil), Trace Delay (ps), (x;y)Location-(mil),Layer
,Trace15537::DDR_LDQS_P / Trace15390::DDR_LDQS_N,88.6,22.213,3.5,(5109.705;4020.350),Signal$TOP / Signal$TOP
,Trace15538::DDR_LDQS_P / Trace15389::DDR_LDQS_N,88.6,8.090,1.3,(5123.671;4023.211),Signal$TOP / Signal$TOP
,Trace15539::DDR_LDQS_P / Trace15388::DDR_LDQS_N,88.6,15.547,2.5,(5126.531;4033.844),Signal$TOP / Signal$TOP
,Trace15540::DDR_LDQS_P / Trace15387::DDR_LDQS_N,88.6,8.107,1.3,(5123.665;4044.484),Signal$TOP / Signal$TOP
,Trace15541::DDR_LDQS_P / Trace15386::DDR_LDQS_N,88.6,31.539,5.0,(5105.030;4047.350),Signal$TOP / Signal$TOP
,Trace15542::DDR_LDQS_P / Trace15385::DDR_LDQS_N,88.6,54.948,8.8,(5063.467;4069.415),Signal$TOP / Signal$TOP
,Trace15543::DDR_LDQS_P / Trace15384::DDR_LDQS_N,88.6,36.260,5.8,(5041.402;4113.339),Signal$TOP / Signal$TOP
,Trace15544::DDR_LDQS_P / Trace15383::DDR_LDQS_N,88.6,63.979,10.2,(5018.781;4154.089),Signal$TOP / Signal$TOP
,Trace15547::DDR_LDQS_P / Trace15382::DDR_LDQS_N,88.6,14.843,2.4,(4993.531;4190.500),Signal$TOP / Signal$TOP
,Total,,1610.079,257.3
DDR_UDQS_P / DDR_UDQS_N
,Trace5361::DDR_UDQS_P / Trace15229::DDR_UDQS_N,88.6,487.465,77.9,(4825.531;3942.811),Signal$TOP / Signal$TOP
,Trace5362::DDR_UDQS_P / Trace15230::DDR_UDQS_N,88.6,128.312,20.5,(4780.165;3653.715),Signal$TOP / Signal$TOP
,Trace5363::DDR_UDQS_P / Trace15231::DDR_UDQS_N,88.6,130.268,20.8,(4669.665;3608.350),Signal$TOP / Signal$TOP
,Trace5364::DDR_UDQS_P / Trace15232::DDR_UDQS_N,88.6,9.902,1.6,(4594.665;3602.215),Signal$TOP / Signal$TOP
,Trace5365::DDR_UDQS_P / Trace15233::DDR_UDQS_N,88.6,11.161,1.8,(4588.531;3586.770),Signal$TOP / Signal$TOP
,Trace5366::DDR_UDQS_P / Trace15234::DDR_UDQS_N,88.6,8.243,1.3,(4594.079;3571.911),Signal$TOP / Signal$TOP
,Trace5367::DDR_UDQS_P / Trace15235::DDR_UDQS_N,88.6,7.161,1.1,(4606.939;3566.358),Signal$TOP / Signal$TOP
,Trace5368::DDR_UDQS_P / Trace15236::DDR_UDQS_N,88.6,5.671,0.9,(4612.526;3564.354),Signal$TOP / Signal$TOP
,Trace5369::DDR_UDQS_P / Trace15237::DDR_UDQS_N,88.6,24.000,3.8,(4614.531;3550.350),Signal$TOP / Signal$TOP
,Trace5370::DDR_UDQS_P / Trace15238::DDR_UDQS_N,88.6,7.071,1.1,(4612.031;3535.850),Signal$TOP / Signal$TOP
,Trace5371::DDR_UDQS_P / Trace15239::DDR_UDQS_N,88.6,20.272,3.2,(4599.396;3533.350),Signal$TOP / Signal$TOP
,Trace5372::DDR_UDQS_P / Trace15240::DDR_UDQS_N,88.6,5.267,0.8,(4581.031;3528.850),Signal$TOP / Signal$TOP
,Trace5373::DDR_UDQS_P / Trace15241::DDR_UDQS_N,88.6,11.433,1.8,(4576.531;3514.906),Signal$TOP / Signal$TOP
,Trace5374::DDR_UDQS_P / Trace15242::DDR_UDQS_N,88.5,5.429,0.9,(4581.091;3500.906),Signal$TOP / Signal$TOP
,Trace5376::DDR_UDQS_P / Trace15243::DDR_UDQS_N,88.6,19.161,3.1,(4598.951;3496.350),Signal$TOP / Signal$TOP
,Trace5377::DDR_UDQS_P / Trace15244::DDR_UDQS_N,88.6,8.485,1.4,(4611.531;3493.350),Signal$TOP / Signal$TOP
,Trace5378::DDR_UDQS_P / Trace15245::DDR_UDQS_N,88.6,17.000,2.7,(4614.531;3481.850),Signal$TOP / Signal$TOP
,Trace5379::DDR_UDQS_P / Trace15246::DDR_UDQS_N,88.6,8.485,1.4,(4611.531;3470.350),Signal$TOP / Signal$TOP
,Trace5380::DDR_UDQS_P / Trace15247::DDR_UDQS_N,88.6,27.823,4.4,(4594.620;3467.350),Signal$TOP / Signal$TOP
,Trace5381::DDR_UDQS_P / Trace15248::DDR_UDQS_N,88.6,5.907,0.9,(4572.254;3462.624),Signal$TOP / Signal$TOP
,Trace5382::DDR_UDQS_P / Trace15249::DDR_UDQS_N,88.6,18.819,3.0,(4567.531;3444.760),Signal$TOP / Signal$TOP
,Trace5383::DDR_UDQS_P / Trace15250::DDR_UDQS_N,88.6,9.902,1.6,(4573.665;3425.486),Signal$TOP / Signal$TOP
,Trace5384::DDR_UDQS_P / Trace15251::DDR_UDQS_N,88.6,31.000,5.0,(4599.031;3419.350),Signal$TOP / Signal$TOP
,Trace5385::DDR_UDQS_P / Trace15252::DDR_UDQS_N,88.6,5.657,0.9,(4616.531;3417.350),Signal$TOP / Signal$TOP
,Trace5386::DDR_UDQS_P / Trace15253::DDR_UDQS_N,88.6,14.000,2.2,(4618.531;3408.350),Signal$TOP / Signal$TOP
,Trace5387::DDR_UDQS_P / Trace15254::DDR_UDQS_N,88.6,7.071,1.1,(4616.031;3398.850),Signal$TOP / Signal$TOP
